Depth, Width (#Nodes), Width (#States)
0, 1, 1
1, 1, 1
2, 1, 1
3, 1, 1
4, 1, 1
5, 1, 1
6, 2, 4
7, 5, 8
8, 5, 9
9, 3, 7
10, 3, 4
11, 4, 4
12, 7, 9
13, 9, 14
14, 10, 16
15, 9, 15
16, 8, 11
17, 8, 12
18, 7, 13
19, 12, 22
20, 19, 38
21, 29, 53
22, 37, 69
23, 42, 94
24, 39, 109
25, 34, 117
26, 31, 102
27, 23, 67
28, 13, 32
29, 5, 9
