Depth, Width (#Nodes), Width (#States)
0, 1, 1
1, 1, 1
2, 1, 1
3, 1, 1
4, 1, 1
5, 1, 1
6, 2, 2
7, 2, 3
8, 2, 4
9, 2, 5
10, 1, 5
11, 1, 5
12, 1, 5
13, 1, 5
14, 1, 5
15, 1, 5
16, 1, 5
17, 1, 5
18, 1, 5
19, 1, 5
20, 1, 5
21, 2, 6
22, 3, 10
23, 3, 16
24, 3, 25
25, 1, 25
26, 1, 10
27, 1, 3
28, 1, 3
29, 1, 3
